iter	Accuracy	MultiClass
0	0.6613138686	1.044683822
1	0.6430656934	1.009350807
2	0.6686131387	0.982042733
3	0.6751824818	0.9573085732
4	0.6656934307	0.9328897419
5	0.6751824818	0.9054304756
6	0.6795620438	0.8841728418
7	0.697810219	0.8679815577
8	0.7080291971	0.8512122138
9	0.7065693431	0.8348862612
10	0.7094890511	0.8249319673
11	0.7072992701	0.8151623692
12	0.7167883212	0.8050599965
13	0.7197080292	0.7909391736
14	0.7197080292	0.782771615
15	0.7218978102	0.7732847088
16	0.7189781022	0.7632642039
17	0.7218978102	0.7576903681
18	0.7270072993	0.7472187533
19	0.7277372263	0.7399640921
20	0.7328467153	0.7322317191
21	0.7321167883	0.7291821259
22	0.7328467153	0.7222642619
23	0.7350364964	0.7179718832
24	0.7408759124	0.7116590115
25	0.7423357664	0.7064230712
26	0.7445255474	0.7042657335
27	0.7489051095	0.6998108528
28	0.7540145985	0.6965448569
29	0.7525547445	0.6943429792
30	0.7547445255	0.6918201074
31	0.7525547445	0.6889091759
32	0.7562043796	0.6860451961
33	0.7613138686	0.6813296627
34	0.7627737226	0.6755820254
35	0.7583941606	0.6710288498
36	0.7620437956	0.6675099492
37	0.7656934307	0.66525697
38	0.7671532847	0.6611001639
39	0.7693430657	0.6588902754
40	0.7700729927	0.6573997018
41	0.7722627737	0.6545388859
42	0.7729927007	0.6528932709
43	0.7751824818	0.650187748
44	0.7788321168	0.6487171673
45	0.7795620438	0.6439168966
46	0.7766423358	0.6426416641
47	0.7788321168	0.6417817881
48	0.7802919708	0.6379058394
49	0.7802919708	0.6353503031
50	0.7810218978	0.632141403
51	0.7802919708	0.6303769081
52	0.7832116788	0.6292922517
53	0.7824817518	0.6285833769
54	0.7854014599	0.626610213
55	0.7846715328	0.6256651037
56	0.7890510949	0.6242937801
57	0.7897810219	0.6221204026
58	0.7912408759	0.6197730717
59	0.7919708029	0.6182216104
60	0.7919708029	0.6162363764
61	0.7912408759	0.6134707869
62	0.7919708029	0.6121285009
63	0.7934306569	0.6085726012
64	0.795620438	0.6070327598
65	0.795620438	0.6040436009
66	0.7941605839	0.5999680996
67	0.7941605839	0.597646718
68	0.7948905109	0.5963983349
69	0.7948905109	0.5939485094
70	0.796350365	0.592345144
71	0.797810219	0.5911875613
72	0.802189781	0.5889367586
73	0.802919708	0.5860450498
74	0.804379562	0.5832321433
75	0.8131386861	0.5799290848
76	0.8153284672	0.577119458
77	0.8153284672	0.5747472966
78	0.8204379562	0.5721968217
79	0.8211678832	0.5700715947
80	0.8204379562	0.5688167446
81	0.8189781022	0.5646371791
82	0.8197080292	0.5625640104
83	0.8226277372	0.5574973859
84	0.8240875912	0.5557183977
85	0.8240875912	0.5526909234
86	0.8226277372	0.5487344986
87	0.8218978102	0.5467486554
88	0.8262773723	0.542600847
89	0.8284671533	0.5411848714
90	0.8277372263	0.5386810713
91	0.8291970803	0.5361548821
92	0.8313868613	0.5337587271
93	0.8306569343	0.5308401821
94	0.8350364964	0.5286150753
95	0.8394160584	0.5263741197
96	0.8394160584	0.5251159108
97	0.8372262774	0.5218612481
98	0.8430656934	0.5202938655
99	0.8437956204	0.5187899728
