iter	Passed	Remaining
0	768	76095
1	1378	67538
2	1979	63999
3	2593	62244
4	3172	60275
5	3769	59055
6	4331	57552
7	4928	56674
8	5532	55939
9	6094	54847
10	6644	53760
11	7202	52819
12	7754	51892
13	8312	51064
14	8935	50634
15	9508	49919
16	10056	49097
17	10607	48321
18	11184	47680
19	11747	46989
20	12283	46208
21	12820	45454
22	13394	44841
23	13929	44111
24	14490	43472
25	15053	42845
26	15615	42219
27	16161	41557
28	16714	40921
29	17264	40284
30	17802	39624
31	18355	39006
32	18891	38354
33	19455	37766
34	20022	37185
35	20572	36573
36	21127	35973
37	21668	35354
38	22212	34741
39	22739	34109
40	23274	33492
41	23816	32888
42	24419	32370
43	24975	31787
44	25504	31171
45	26048	30579
46	26593	29988
47	27126	29386
48	27674	28804
49	28215	28215
50	28774	27646
51	29354	27096
52	29890	26506
53	30414	25908
54	30946	25319
55	31555	24793
56	32096	24213
57	32635	23632
58	33186	23061
59	33715	22477
60	34254	21900
61	34790	21323
62	35337	20753
63	35898	20192
64	36433	19618
65	36971	19045
66	37527	18483
67	38069	17914
68	38602	17343
69	39144	16776
70	39682	16208
71	40221	15641
72	40761	15076
73	41316	14516
74	41867	13955
75	42423	13396
76	42960	12832
77	43498	12268
78	44039	11706
79	44574	11143
80	45119	10583
81	45676	10026
82	46253	9473
83	46867	8927
84	47435	8371
85	48029	7818
86	48595	7261
87	49129	6699
88	49705	6143
89	50289	5587
90	50836	5027
91	51387	4468
92	51935	3909
93	52474	3349
94	53001	2789
95	53536	2230
96	54077	1672
97	54619	1114
98	55146	557
99	55677	0
